Link,Product Name,SKU,Image Link,Five Star,Review Amount,Price,comment_id,comment_5_star,comment_date,comment_title,comment_text,comment_sum
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",d6840cb45493c9bdc7e25a49bcdc9b0c359576c0c0f978c3c2834b3ba5b60ebd,5,Submitted 9 months ago,"Beautiful, sleek design and works like a charm!",We love this product. Couldn't ask for a cleaner look and more effective option,
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",cfbf3fda99eacf21a35eba6c9b3309adfaf863102563f81e3e62ec88071a87cc,5,Submitted 10 months ago,Like the knobs,I bought this last month and sofar so good love it,
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",1a339fe6f7b35b4d1d94d59a4f965db92680fc40207e91c224addba625f31357,5,Submitted 1 year ago,Exactly what I was looking for!,"Great product with burners that quickly provide heat (or slowly provide heat - love that burner too). It's awesome to have 6 burners when guests come for dinner & I adore the little light that reminds me I left a burner on. With the controls all to one side, I'm able to slide heavier pans from one burner to another & also use 2 burners for my large pancake griddle. LOVE IT!!",
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",dbfa7635a8849816d2191e9c59d3d5987a13f6ae359c81bb8752cc12baa2ecbe,5,Submitted 2 years ago,Great appliance,Great choice for a stove top....works great... looks great,
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",62923e7195b341aefa933eb38e0cb54977871e61607e6901ceedcf373c5bb17b,5,Submitted 2 years ago,Clean flat look,"New product , high quality of workmanship . I really enjoy cooking on this cooktop.matches with stainless steel combo",
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",47cc41ba55ba245772f0e24a8ca1d4be17d019a43a3dad5e3835db45f1325d3f,5,Submitted 2 years ago,Love the style and design,I have had this cook top installed for a month and love it!,
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",9d5c7611f6a3664ca7b278be8cb30e8dc160bb2b99f7604fbbcaeb3828dd41b7,5,Submitted 3 years ago,Excellent Cooktop,"We looked long and hard at what appliances to go with when we started our kitchen remodel. We were very impressed to the whole line of appliances available from Jennair. We went with the 30"" built in convection microwave speed oven, The 30"" single wall oven and the Euro-style 36"" 6-burner gas cooktop. We have been using these appliances every day now for better than 6-months and couldn't be any happier with our selection. The burner controls are easy to set for just the right amount of heat to cook what you are making. The power burners make short work of getting a big pot of water ready to take on a box of pasta. They are helpful as well when you want just a little more heat to cook something fast. Simmering a pot of soup on the small burner is a great help when orchestrating a meal using the 5 other burners to cook up a masterpiece. We'd recommend the Jennair Euro-Style 36"" 6-Burner Gas Cooktop, as well as the whole line of Jennair appliances, to anyone getting serious about upgrading their kitchen appliances. Jennair is definitely a top-of-the-line choice.",
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",e7da824a74f63dca52274274faf0c2f71513636bb3d1d741d79ff107407836e6,5,Submitted 3 years ago,Love this cooktop!,"This was purchased to replace a consumer grade cooktop which had a short lifespan. This 36"" 6 burner beauty looks fantastic in my kitchen. It's precise control brings a whole new cooking experience. Plenty of room to prepare your favorites. Nice design. Easy to clean. I look forward to using it every day.",
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",6dd297fcf3338035dc44ec6ee1f82d41ace770f26aa1f3b931ccab2a6fd2abd3,5,Submitted 3 years ago,Love it!,I enjoy cooking with my great Jenn-Air cooktop! A great choice!,
https://www.appliancecanada.com/products/jennair-stainless-steel-cooktop-jgc7530bs?variant=40287572525249,JennAir Gas JGC7530BS,JGC7530BS,//www.appliancecanada.com/cdn/shop/products/frbmpjsfjlmk_800x.png?v=1626960422,4.7,71,"$ 2,749.99",4f1312144049e5532dc00593cba131efd3db3efc1ae9447b34bf4fb73d9a9152,5,Submitted 3 years ago,New cooktop,"I install my new cooktop about two weeks ago and so far the burners are great, and heat up my water/food very quickly.",
